e, e_dot, e_int, stamp, 
0.7853983796755198, -1.8816285537344384e-11, 0.07210930312567315, 1740698202368304645, 
0.7853983796760612, -1.3037758169476492e-11, 0.07136477923381306, 1740698202417388189, 
0.785398379678299, 1.891220378051988e-11, 0.07700192112607619, 1740698202466346509, 
0.7853983796805225, 2.996520792628725e-11, 0.07797323586876191, 1740698202516666769, 
0.7853981637634964, -1.4460626075910028e-06, 0.07861130358754191, 1740698202566437511, 
0.7853981637634782, -1.4460774367051635e-06, 0.08687169248305032, 1740698202627275233, 
0.7853981637597353, -2.5185860423720884e-11, 0.08684281328566154, 1740698202677009215, 
0.7853981637606413, -1.919841070793871e-11, 0.07934913305556898, 1740698202728305687, 
0.7853981637606413, 5.887688925901118e-12, 0.07168869001878203, 1740698202768286090, 
0.7853981637617125, 7.27966828232192e-12, 0.06992215676094767, 1740698202817333342, 
0.785398163761763, 7.613903672225068e-12, 0.07808904966641701, 1740698202867712156, 
0.785398163761763, 3.342353899031487e-13, 0.11712617761977498, 1740698202966463023, 
0.7853981637632907, 5.600220461510652e-12, 0.14897938794978777, 1740698203057398604, 
0.7853981637662094, 1.4394301567630146e-11, 0.1583091696511322, 1740698203168028518, 
0.7853981637662556, 8.950692630210094e-12, 0.16409407244832397, 1740698203266329666, 
0.7853983796854095, 6.411368966537845e-07, 0.16537317919867917, 1740698203378588170, 
0.7853983796872286, 6.411574489601853e-07, 0.11116446908423265, 1740698203407868638, 
0.7853985956064127, 1.4084996254431818e-06, 0.063130577301113, 1740698203458968488, 
0.7717619736890264, -0.028498962669209333, 0.16444016311297707, 1740698203618459065, 
0.7432272662417373, -0.1242926106573821, 0.1984347603507565, 1740698203717752799, 
0.7042667153107287, -0.2401063626523511, 0.14002313263150654, 1740698203807742954, 
0.6075085028638443, -0.34597741132847437, 0.17119798531155855, 1740698203967676563, 
0.5428069237361677, -0.4177545631783068, 0.16056944365931064, 1740698204067482504, 
0.5091511192178345, -0.43843466184101726, 0.08311832981819933, 1740698204117938700, 
0.4151308047911758, -0.4471241414172474, 0.0928576330017099, 1740698204257363914, 
0.3385501344816969, -0.45496215485952457, 0.10537248629083504, 1740698204368262927, 
0.2758204267109924, -0.441341355804936, 0.07203867483898108, 1740698204467286923, 
0.21371780823356235, -0.39905975175999187, 0.057743634902318666, 1740698204577456669, 
0.16752303660787848, -0.37889986895226363, 0.041786657640274324, 1740698204658075786, 
0.099987078402764, -0.39598678055418496, 0.030548477536625554, 1740698204767897473, 
0.03742831808967828, -0.41410767522202097, 0.021298801865441357, 1740698204867614495, 
-0.029033833648761553, -0.4292358922550406, 0.007238612205055387, 1740698204968262148, 
-0.08796041892804607, -0.3997615248140837, -0.005569234187184948, 1740698205077600121, 
-0.11807010562643538, -0.29023786436992977, -0.01567813725437085, 1740698205168353783, 
-0.1265760980067545, -0.14075378168683492, -0.020483629628378092, 1740698205262355579, 
