x, y, theta, stamp, 
-2.0749753915083602e-08, 2.4254861230588176e-08, -2.3878278963191763e-07, 1740698202276492254, 
-2.0749753915083602e-08, 2.4254861230588176e-08, -2.387824741384772e-07, 1740698202326523755, 
-2.0749753915083602e-08, 2.4254861230588176e-08, -2.387803791564555e-07, 1740698202368304645, 
-2.0749753915083602e-08, 2.4254861230588176e-08, -2.387809204682225e-07, 1740698202417388189, 
-2.0749753915083602e-08, 2.4254861230588176e-08, -2.387831582130248e-07, 1740698202466346509, 
-2.0749753915083602e-08, 2.4254861230588176e-08, -2.3878538179580435e-07, 1740698202516666769, 
-1.7763568394002505e-15, -2.3092638912203256e-14, -3.660374043301708e-10, 1740698202566437511, 
-1.7763568394002505e-15, -2.3092638912203256e-14, -3.6601921253505095e-10, 1740698202627275233, 
-1.7763568394002505e-15, -2.3092638912203256e-14, -3.6227635504938125e-10, 1740698202677009215, 
-1.7763568394002505e-15, -2.3092638912203256e-14, -3.631823764623058e-10, 1740698202728305687, 
-1.7763568394002505e-15, -2.3092638912203256e-14, -3.631823764623058e-10, 1740698202768286090, 
-1.7763568394002505e-15, -2.3092638912203256e-14, -3.642535442644284e-10, 1740698202817333342, 
-1.7763568394002505e-15, -2.3092638912203256e-14, -3.6430405364780407e-10, 1740698202867712156, 
-1.7763568394002505e-15, -2.3092638912203256e-14, -3.6430405364780407e-10, 1740698202966463023, 
0.0, -2.4868995751603507e-14, -3.658299827963928e-10, 1740698203057398604, 
0.0, -2.4868995751603507e-14, -3.6874867260132903e-10, 1740698203168028518, 
0.0, -2.4868995751603507e-14, -3.687948846604653e-10, 1740698203266329666, 
-2.0749752138726762e-08, 2.4254855901517658e-08, -2.387902652746975e-07, 1740698203378588170, 
-2.0749752138726762e-08, 2.4254855901517658e-08, -2.3879208427387304e-07, 1740698203407868638, 
-4.1499504277453525e-08, 4.8509747330172104e-08, -4.772135903185613e-07, 1740698203458968488, 
0.0065501416102051735, 0.00031425338238477707, 0.016764861869658997, 1740698203618459065, 
0.021199015900492668, 0.0007932563894428313, 0.05248685061092801, 1740698203717752799, 
0.039606086909770966, 0.002202774863690138, 0.10023007614778097, 1740698203807742954, 
0.08432257920503616, 0.009676848538219929, 0.2170331966827678, 1740698203967676563, 
0.11342872679233551, 0.016833219677209854, 0.29420793845509846, 1740698204067482504, 
0.12741975486278534, 0.021232489496469498, 0.33354100722144653, 1740698204117938700, 
0.16645687818527222, 0.036587994545698166, 0.4424135562130781, 1740698204257363914, 
0.19656261801719666, 0.05207056552171707, 0.5291640507409818, 1740698204368262927, 
0.2227538675069809, 0.0684102326631546, 0.5996542456419827, 1740698204467286923, 
0.25017479062080383, 0.08831062912940979, 0.6687935539655786, 1740698204577456669, 
0.26927414536476135, 0.10416580736637115, 0.7190363085920256, 1740698204658075786, 
0.29372602701187134, 0.1266375631093979, 0.7907957462883558, 1740698204767897473, 
0.31465837359428406, 0.14901313185691833, 0.8553738360016998, 1740698204867614495, 
0.33413076400756836, 0.17258943617343903, 0.9221918160757843, 1740698204968262148, 
0.34941336512565613, 0.1937464475631714, 0.9798071174782709, 1740698205077600121, 
0.3570224344730377, 0.20507550239562988, 1.0087502022953072, 1740698205168353783, 
0.36417949199676514, 0.2165716141462326, 1.0156058987947254, 1740698205262355579, 
0.37627410888671875, 0.23563049733638763, 1.00438718581252, 1740698205362896464, 
0.39002910256385803, 0.2571035325527191, 0.9886166673597019, 1740698205473020073, 
0.40150439739227295, 0.2740947902202606, 0.9737688608195794, 1740698205570483985, 
0.4122544825077057, 0.2895885705947876, 0.9463580590021764, 1740698205663386291, 
0.4240504205226898, 0.30573222041130066, 0.9118892341195611, 1740698205763696534, 
0.4377449154853821, 0.32302775979042053, 0.8771375987899196, 1740698205872905726, 
0.4528680145740509, 0.3407222032546997, 0.8546897086783264, 1740698205971866317, 
0.4678107798099518, 0.3577457070350647, 0.8315682156686411, 1740698206062409851, 
0.48277518153190613, 0.37383148074150085, 0.8199769533512816, 1740698206162352947, 
0.4962770938873291, 0.3883900046348572, 0.8171871834490795, 1740698206272933536, 
0.5097061991691589, 0.40282243490219116, 0.817521181049099, 1740698206372633807, 
0.5209283828735352, 0.4151800572872162, 0.8256750369401639, 1740698206462411406, 
0.534259021282196, 0.4297102689743042, 0.8421896870011067, 1740698206568541624, 
0.5450379252433777, 0.44211384654045105, 0.8570991447835961, 1740698206657904710, 
0.5583253502845764, 0.45783770084381104, 0.8709630381500939, 1740698206767361666, 
0.5686547756195068, 0.47022807598114014, 0.8884010750099518, 1740698206867363253, 
0.5780432224273682, 0.4816909432411194, 0.9011549997545096, 1740698206963921314, 
0.588820219039917, 0.49555402994155884, 0.9085602785774594, 1740698207077778442, 
0.5969176888465881, 0.5062066316604614, 0.9155989743407866, 1740698207167392942, 
0.6059409976005554, 0.5181319117546082, 0.918832640036744, 1740698207267330319, 
0.6143449544906616, 0.5290951728820801, 0.919631071657976, 1740698207364070395, 
0.6215614080429077, 0.538467288017273, 0.9138944585558649, 1740698207458235206, 
0.630574643611908, 0.5498933792114258, 0.9041739720017203, 1740698207567359725, 
0.6389063596725464, 0.5603954792022705, 0.8977503505178707, 1740698207667370206, 
0.6470749378204346, 0.570439338684082, 0.8900796076397076, 1740698207769561677, 
0.6549500823020935, 0.5800580382347107, 0.8824665537211033, 1740698207857541248, 
0.6625708937644958, 0.5893389582633972, 0.8773460996684518, 1740698207967564831, 
0.6705403327941895, 0.5986585021018982, 0.871619421918231, 1740698208067360064, 
0.6782072186470032, 0.6075917482376099, 0.8661314444782742, 1740698208164358067, 
0.6869294047355652, 0.6179808974266052, 0.8650761234985567, 1740698208274465437, 
0.6939607262611389, 0.6261255741119385, 0.8666072578935481, 1740698208367381921, 
0.7010758519172668, 0.6345897316932678, 0.870348700336025, 1740698208467430558, 
0.7087157964706421, 0.6436082720756531, 0.8758710650028604, 1740698208577509916, 
0.7138715386390686, 0.6498891711235046, 0.88188746819337, 1740698208657901573, 
0.721403956413269, 0.6591542959213257, 0.885983643270738, 1740698208767887437, 
0.7279366254806519, 0.6670840978622437, 0.8918812374093801, 1740698208867446891, 
0.7349318861961365, 0.6759292483329773, 0.896687679580468, 1740698208977983405, 
0.7410094141960144, 0.6834684014320374, 0.9006289846501618, 1740698209075978249, 
0.7460170388221741, 0.6902384757995605, 0.8999107869632342, 1740698209167728986, 
0.7520798444747925, 0.6979106664657593, 0.901672935502437, 1740698209269385664, 
0.7579588294029236, 0.705147922039032, 0.9055296623496131, 1740698209366753200, 
0.7640103101730347, 0.7129514813423157, 0.9029497445661986, 1740698209476665010, 
0.769066572189331, 0.71917724609375, 0.901130576604552, 1740698209568748628, 
0.7741626501083374, 0.7258531451225281, 0.8981422699033933, 1740698209669365229, 
0.7792487740516663, 0.7325544953346252, 0.895074906577069, 1740698209767516997, 
0.7852630615234375, 0.7397836446762085, 0.8916583129873387, 1740698209877773584, 
0.7896283864974976, 0.7451077699661255, 0.8869198965714722, 1740698209967742573, 
0.7943418622016907, 0.7509914636611938, 0.882830125445248, 1740698210067567353, 
