odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
-4.141188014727959e-08, 4.820000754079956e-08, -4.767081405610794e-07, 4.1382076689045695e-07, 2.7640210191748338e-06, 0.02136766309535478, 0.07108373580778725, 0.015036610659715262, 1741910455133111490, 
-4.141188014727959e-08, 4.820000754079956e-08, -4.767064380027512e-07, 0.0, -1.7247283494725707e-06, 0.018472264520770998, 0.07143654971943952, 0.014628436974816252, 1741910455335729012, 
-4.141188014727959e-08, 4.820000754079956e-08, -4.7670718803771166e-07, 0.0, 1.217638214257022e-06, 0.02315379610645424, 0.07122905016314231, 0.017610942079228135, 1741910455531797315, 
-4.141188014727959e-08, 4.820000754079956e-08, -4.767069225490759e-07, 0.0, 2.284708898514509e-06, 0.024152560505510474, 0.06775835560994715, 0.021019962928438628, 1741910455725569908, 
-6.211786995891089e-08, 7.230002552205406e-08, -7.15121093168548e-07, 0.0, 1.507055230831611e-06, 0.02446758292724739, 0.07210875917674373, 0.01985477977317618, 1741910455932068040, 
-6.211786995891089e-08, 7.230002552205406e-08, -7.151198143525719e-07, 0.0, 5.317988325259648e-07, 0.02074506680816165, 0.06817574799078366, 0.019223570191529395, 1741910456045646997, 
-6.211786995891089e-08, 7.230002552205406e-08, -7.151172328003923e-07, 0.0, 0.0, 0.018660966184077612, 0.06709602120997225, 0.01658220263366437, 1741910456235533721, 
-6.211786995891089e-08, 7.230002552205406e-08, -7.151249967735221e-07, 0.0, -1.7372208276356105e-06, 0.022073349285201674, 0.07103181940219319, 0.0167288763825427, 1741910456330787725, 
-6.211786995891089e-08, 7.230002552205406e-08, -7.151131733645768e-07, 0.0, 1.0311801412754562e-10, 0.023937456056646503, 0.07007297411587424, 0.017245982963940747, 1741910456446074634, 
0.0036351867020130157, -0.0004495276079978794, 0.02837762451546408, 0.05585437334996183, 0.4143531322479248, 0.02743764430091887, 0.06444073343892306, 0.033619433379049365, 1741910456635581816, 
0.009780501015484333, -0.0006102490006014705, 0.07540899049072482, 0.05500868413311072, 0.4466021955013275, 0.028021268249075488, 0.07310492057585452, 0.08148448494798494, 1741910456736524359, 
0.022828832268714905, 0.0003486693021841347, 0.17532560527760988, 0.09261165976281663, 0.545362114906311, 0.036065704453362324, 0.07593487401233916, 0.1495411798952723, 1741910456925599455, 
0.032137468457221985, 0.0016970145516097546, 0.22985765690291532, 0.08113775627033822, 0.4949023127555847, 0.03983167988195106, 0.07583003665266458, 0.21558721359235122, 1741910457032761185, 
0.04053192585706711, 0.003103284165263176, 0.27965314186654017, 0.08726326536211317, 0.5173692107200623, 0.05516512463212155, 0.08241266007600194, 0.2802941995090589, 1741910457130810445, 
0.04878752678632736, 0.005286965984851122, 0.33173051925921176, 0.08556010785997259, 0.503831684589386, 0.06885744666669075, 0.08664659375804694, 0.35118682599213596, 1741910457229689342, 
0.06455524265766144, 0.011642228811979294, 0.43350732170178, 0.08176338706561076, 0.5330398678779602, 0.0815101981291654, 0.08940623086404703, 0.4180959169550007, 1741910457431651910, 
0.07191035896539688, 0.014992386102676392, 0.48356234420923144, 0.08224983693969917, 0.505628764629364, 0.09087818387663904, 0.0923325621514518, 0.485305138598223, 1741910457530598963, 
0.07910581678152084, 0.018572580069303513, 0.5300179487822478, 0.08617064474022314, 0.5009933710098267, 0.09855011070670178, 0.10176133956361166, 0.5469268346307137, 1741910457625850675, 
0.08722606301307678, 0.023141158744692802, 0.5848592728989203, 0.08266565791542908, 0.5002112984657288, 0.10964203269250827, 0.10515930416846399, 0.6161834852873773, 1741910457736579895, 
0.10072837024927139, 0.0326143242418766, 0.6857666504472691, 0.08291264027613864, 0.5023553967475891, 0.11730968274568981, 0.1120849009243839, 0.6826061199155805, 1741910457935568353, 
0.10685911774635315, 0.03739645332098007, 0.7288571883726422, 0.08790452256499544, 0.46983763575553894, 0.12499078265786655, 0.11784417521310296, 0.7400200148775197, 1741910458025901119, 
0.11298245936632156, 0.04276551306247711, 0.7647314937891107, 0.07860493488544525, 0.3489406406879425, 0.135165851145039, 0.12697301141494574, 0.7912009107019267, 1741910458125534842, 
0.12539060413837433, 0.054747648537158966, 0.838238013769233, 0.08420093390186985, 0.3421749174594879, 0.1444622861353405, 0.13634701411464853, 0.8419357012694552, 1741910458335659482, 
0.13031694293022156, 0.06023592874407768, 0.8694250405340249, 0.08221827524796997, 0.3401632606983185, 0.1480058285093333, 0.14423646186343148, 0.8778114338009553, 1741910458425542472, 
0.1358529031276703, 0.06723937392234802, 0.885791781439101, 0.07907122442528662, 0.07225995510816574, 0.162218002866297, 0.15112394252148062, 0.8981586747165279, 1741910458535658537, 
0.14293202757835388, 0.07597218453884125, 0.8908125961032775, 0.0790261171812366, 0.06679054349660873, 0.17122642534253024, 0.1593897210993035, 0.9043924649382816, 1741910458685696073, 
0.14698706567287445, 0.08154447376728058, 0.8972295232818562, 0.07888255078303229, 0.07651430368423462, 0.17453687174183416, 0.16977831082463835, 0.912186297327723, 1741910458775713284, 
0.15295997262001038, 0.08927474915981293, 0.8994614914835752, 0.08196715329634524, -0.017820382490754128, 0.18358489875975278, 0.1777072078265899, 0.9088747552249058, 1741910458895326099, 
0.16399219632148743, 0.10103577375411987, 0.8751895890082135, 0.06835426586607357, -0.09311827272176743, 0.1915359189459995, 0.1868587025140382, 0.8930972917719853, 1741910459135362634, 
0.16855430603027344, 0.10576756298542023, 0.8684502443100046, 0.07248070577711602, -0.09442756325006485, 0.19173208530450744, 0.19297272091773274, 0.8802595949370271, 1741910459226835869, 
0.17346060276031494, 0.11077042669057846, 0.8511818890047005, 0.06637077004743791, -0.19981874525547028, 0.20019458332350967, 0.20032012346146777, 0.857707921939816, 1741910459325662580, 
0.1785743087530136, 0.11593153327703476, 0.8278353923656839, 0.06832211297799422, -0.22107253968715668, 0.212902424438517, 0.21002186223333227, 0.8308405840394764, 1741910459435718636, 
0.18305176496505737, 0.12074899673461914, 0.8039100759212928, 0.06386821275162963, -0.23224124312400818, 0.2175985088067608, 0.21669736330538558, 0.7982722648826526, 1741910459535679991, 
0.19223199784755707, 0.1295415163040161, 0.7562539126426477, 0.06135084027037792, -0.24169425666332245, 0.2264563692348275, 0.22288546876412757, 0.7720303314546597, 1741910459736024774, 
0.19674722850322723, 0.1333942711353302, 0.7322186339699233, 0.06085922301859006, -0.24224431812763214, 0.22881336118306056, 0.23052560501800412, 0.7368699831040779, 1741910459835297976, 
0.20201359689235687, 0.1376219391822815, 0.7089732001653013, 0.0662107670693545, -0.23137110471725464, 0.23210254938087224, 0.23802877213773388, 0.7067717950890752, 1741910459935581112, 
0.21193763613700867, 0.14491789042949677, 0.6701852038833778, 0.06156641012861091, -0.15697190165519714, 0.23865257820238767, 0.24210864912611296, 0.6859194121516301, 1741910460136189534, 
0.21703553199768066, 0.1485295593738556, 0.6559700529017652, 0.06166574121179369, -0.14683310687541962, 0.2457849726100294, 0.24388395029238952, 0.6649509284448508, 1741910460235263135, 
0.2220819592475891, 0.1522597372531891, 0.639412988565551, 0.06107355005379625, -0.15237222611904144, 0.2535851680035777, 0.25240304637502375, 0.6427393187945841, 1741910460335547588, 
