e, e_dot, e_int, stamp, 
0.7853977315691069, -5.852962663915495e-13, 0.07655888619522998, 1740701792749924349, 
0.7853977315691069, -1.1522993712640304e-12, 0.08559973457172998, 1740701792812344940, 
0.7853977315715212, 8.213163915400815e-12, 0.12598188099741572, 1740701792910329550, 
0.7853977315728854, 1.8787561095943488e-11, 0.11073257822109087, 1740701792953334115, 
0.7853977315722813, 8.548746936335359e-12, 0.11184725238097849, 1740701793052737973, 
0.7853977315708398, -1.2009915876651657e-11, 0.11586975404234034, 1740701793100864149, 
0.7853998907532136, 1.1383635517643611e-05, 0.08745479770717779, 1740701793164088839, 
0.7853940743372495, -2.8343313777613883e-05, 0.08798644578831535, 1740701793212892104, 
0.7828723589289446, -0.01757707854150711, 0.07589290205349469, 1740701793260822477, 
0.7559665820664861, -0.07995978571101073, 0.1484457868962943, 1740701793404498263, 
0.7241336216549229, -0.17305664853724412, 0.18072575769077093, 1740701793500408799, 
0.6198731174444697, -0.24800975839434422, 0.24422147652045864, 1740701793753390519, 
0.5738827344152069, -0.2905653445322351, 0.22570649664935516, 1740701793853463289, 
0.5293930710159629, -0.3047114795008725, 0.11369670481956425, 1740701793951336332, 
0.48802741180530457, -0.29868024009799715, 0.10161619750803971, 1740701794045034945, 
0.4390267700585979, -0.296421182067825, 0.09861452004866918, 1740701794154463194, 
0.3908550849714748, -0.3082324993019376, 0.092445291136604, 1740701794255471187, 
0.34152133199178614, -0.3270421154593897, 0.07764464574820723, 1740701794353313547, 
0.29857392392064963, -0.32677075088320046, 0.06462336984637856, 1740701794443521088, 
0.2442260060175555, -0.32366222054153243, 0.05896225868284654, 1740701794553339017, 
0.19074182979541676, -0.34477348097797433, 0.05109545815779465, 1740701794652488570, 
0.14692981254142, -0.32581407529783457, 0.03863296907831221, 1740701794752513060, 
0.1150441357489137, -0.2625746114134984, 0.02885334635428667, 1740701794843690298, 
0.0690945796403094, -0.2561749605919711, 0.02216953672482643, 1740701794953403826, 
0.021613801647360154, -0.2977020804419721, 0.014390482886896207, 1740701795053512512, 
-0.019141919976513266, -0.29354573913156196, 0.004780807224237631, 1740701795153810852, 
-0.050183578026675724, -0.23063286674213587, -0.003323998373399162, 1740701795262517764, 
-0.07976447461887493, -0.20363354187385418, -0.009920844003655855, 1740701795353438845, 
-0.10424110560732913, -0.19082219909041753, -0.014829542503860238, 1740701795452486539, 
-0.11806636793092762, -0.12804101826593625, -0.020134052509985886, 1740701795553398351, 
-0.1321998060176477, -0.08870292592202715, -0.02486087822885994, 1740701795662870469, 
-0.14126545442639182, -0.07637769347210235, -0.026115614572362476, 1740701795753501837, 
-0.14594632527735107, -0.04912109123687227, -0.026495397372071027, 1740701795852388820, 
-0.1485848806799106, -0.0244248742286475, -0.02914147529261736, 1740701795954110134, 
-0.1515940896630955, -0.01779897700378918, -0.031424321389087996, 1740701796063703814, 
-0.15093737102829696, -0.006682843920048577, -0.029807902622116248, 1740701796152337730, 
-0.14374863264707705, 0.02618287860486104, -0.02821762013785126, 1740701796253389309, 
-0.13222887582744447, 0.062090814062964884, -0.028618599690544616, 1740701796353445265, 
-0.1199713489119294, 0.07544613501469356, -0.027753414838626703, 1740701796463669609, 
-0.11294765039035348, 0.06302209196099541, -0.02439583370559707, 1740701796553877764, 
-0.10426868362425623, 0.05515255417609303, -0.021275071530408113, 1740701796652956519, 
-0.09160216053255676, 0.06737810399071849, -0.021583019162410358, 1740701796763544797, 
-0.0790567887605661, 0.07990632175129526, -0.019318788664102398, 1740701796863762415, 
-0.06891537501346212, 0.07888875220365066, -0.015267614500389775, 1740701796954729072, 
-0.05692094517833379, 0.07752193544174019, -0.01297847487820094, 1740701797053790400, 
-0.043972325710808224, 0.08363097249701563, -0.011253235605212875, 1740701797153539366, 
-0.03544183053492689, 0.06916268016884619, -0.009523938821224548, 1740701797263360908, 
-0.024819465036389876, 0.06518503432244489, -0.006946611228140966, 1740701797353473259, 
-0.015100680376356368, 0.07145146831769907, -0.0047943017185541415, 1740701797454211864, 
-0.006639748140072621, 0.06052324410552099, -0.003106607893382758, 1740701797553641751, 
0.0012219457695185065, 0.05221385677397116, -0.00143158304958279, 1740701797663523108, 
0.011050964902546312, 0.058306728883574375, 0.0003848657947169614, 1740701797758606081, 
0.018010006156128244, 0.059977812961641265, 0.0018773299430208728, 1740701797849502215, 
0.024559407021464308, 0.044033389555383606, 0.0037323140851852027, 1740701797967424867, 
0.02671591196067924, 0.026390491748484218, 0.00483097731017825, 1740701798058679727, 
0.027322226961123075, 0.009900206323436776, 0.005008218467040751, 1740701798158584212, 
0.029316484400117804, 0.009034610528780011, 0.0054100382750369835, 1740701798253391360, 
0.033221823556428, 0.01988326048549817, 0.0058691721547453534, 1740701798354526919, 
0.03812030724605864, 0.027851780517819596, 0.00705063293673653, 1740701798463526367, 
0.04005111425762686, 0.022143503365577032, 0.007383364915471705, 1740701798553372861, 
0.03920468805058597, 0.0043424959439499755, 0.007428593200609115, 1740701798653392769, 
0.038942524524373745, -0.003609791346675127, 0.008304895873473722, 1740701798764160004, 
0.03752802587719439, -0.005588920052081083, 0.008058575522218073, 1740701798862389326, 
0.035041539949749345, -0.013891618255123911, 0.007039878659765554, 1740701798953553243, 
0.03328947661616999, -0.014940947589610036, 0.006739983128381484, 1740701799053397566, 
0.03232215588466503, -0.008765404610187705, 0.007059720310846299, 1740701799163970465, 
0.029734964115570528, -0.011546962044539028, 0.00668992816243843, 1740701799263890496, 
0.027964924910411026, -0.015211828295014893, 0.0056886333322644245, 1740701799353545141, 
0.028225902780658396, -0.005709613383611731, 0.005427426910201901, 1740701799453382852, 
0.025997458960841824, -0.006801992513890896, 0.005387234007102693, 1740701799550187542, 
0.016660898731928775, -0.0347423993301799, 0.005003879790826721, 1740701799665159617, 
0.018591648055659604, -0.019788341579585644, 0.004152087787181381, 1740701799753555088, 
0.016201027215922092, -0.000700912098946001, 0.0032284345883171256, 1740701799853393456, 
0.014126942333921644, -0.015067142548069646, 0.0032191136917897904, 1740701799950967528, 
0.013601660422147388, -0.008676456160730745, 0.0030403735854553633, 1740701800061023722, 
0.010973139536138099, -0.011070281552320975, 0.0026121882350490376, 1740701800153453624, 
0.009970206302741702, -0.012818983395334424, 0.0022170231361440655, 1740701800253557177, 
0.006288746109846977, -0.016068855520124714, 0.0017837757943786933, 1740701800349961751, 
0.0063244571457491405, -0.012602744775045886, 0.001434316356115264, 1740701800444093024, 
0.00307230294889993, -0.009790863621442618, 0.0010636872868508853, 1740701800553401909, 
0.0016639610103839075, -0.014611020942393782, 0.0007717632050676282, 1740701800653418401, 
