x, y, theta, stamp, 
1.0353531365581148e-07, -1.1921500231437676e-07, 1.1920601766512366e-06, 1740704666512203222, 
1.0353531365581148e-07, -1.1921500231437676e-07, 1.1920580018499688e-06, 1740704666672007786, 
1.0353531365581148e-07, -1.1921500231437676e-07, 1.1920552732310704e-06, 1740704666715996209, 
8.282839303319633e-08, -9.537201606235612e-08, 9.536191809336263e-07, 1740704666765941835, 
8.282839303319633e-08, -9.537201606235612e-08, 9.536175892392912e-07, 1740704666816075807, 
8.282839303319633e-08, -9.537201606235612e-08, 9.536073043757511e-07, 1740704667027015929, 
8.282839303319633e-08, -9.537201606235612e-08, 9.53594415404503e-07, 1740704667216037827, 
8.282839303319633e-08, -9.537201606235612e-08, 9.535925584570806e-07, 1740704667267229399, 
8.282839303319633e-08, -9.537201606235612e-08, 9.535905319566968e-07, 1740704667312201185, 
8.282839303319633e-08, -9.537201606235612e-08, 9.5358871287782e-07, 1740704667376085345, 
8.282839303319633e-08, -9.537201606235612e-08, 9.535894493634227e-07, 1740704667427009182, 
8.282839303319633e-08, -9.537201606235612e-08, 9.535897838158294e-07, 1740704667472022505, 
8.282839303319633e-08, -9.537201606235612e-08, 9.535925124341092e-07, 1740704667515999275, 
1.0353532076123884e-07, -1.1921500231437676e-07, 1.1920274341694614e-06, 1740704667566968396, 
1.0353532076123884e-07, -1.1921500231437676e-07, 1.1920274341694614e-06, 1740704667616070055, 
1.0353532076123884e-07, -1.1921500231437676e-07, 1.1920245707812119e-06, 1740704667667129509, 
1.0353532076123884e-07, -1.1921500231437676e-07, 1.1920209374375146e-06, 1740704667827076836, 
1.0353532076123884e-07, -1.1921500231437676e-07, 1.192019251783776e-06, 1740704667872021818, 
1.0353532076123884e-07, -1.1921500231437676e-07, 1.192016523165384e-06, 1740704667916011356, 
1.0353532076123884e-07, -1.1921500231437676e-07, 1.1920155015567874e-06, 1740704667966953910, 
8.282840013862369e-08, -9.537201606235612e-08, 9.535797360050096e-07, 1740704668067251235, 
8.282840013862369e-08, -9.537201606235612e-08, 9.535739170130798e-07, 1740704668176031883, 
2.0707624059923546e-08, -2.384303243729846e-08, 2.3826901438777978e-07, 1740704668365963996, 
2.0707624059923546e-08, -2.384303243729846e-08, 2.3826901438777978e-07, 1740704668416084954, 
6.963318810448982e-13, -2.842170943040401e-14, -1.697597155176549e-10, 1740704668627131003, 
-2.0706270476011923e-08, 2.384298092295012e-08, -2.3861986943034303e-07, 1740704669516027910, 
-2.0706270476011923e-08, 2.384298092295012e-08, -2.38618508657028e-07, 1740704669711764920, 
-2.0706270476011923e-08, 2.384298092295012e-08, -2.386203277344373e-07, 1740704669776244649, 
6.910028105266974e-13, -2.842170943040401e-14, -1.8617576427307495e-10, 1740704669827035468, 
6.910028105266974e-13, -2.842170943040401e-14, -1.8664920034841825e-10, 1740704669872051582, 
