e, e_dot, e_int, stamp, 
2.6876397621107535, 0.0, 0.5477221351005199, 1740704666715996209, 
2.6876397726194035, 7.013393558710516e-08, 0.25246088543749984, 1740704666765941835, 
2.6876397726194035, 7.013393558710516e-08, 0.2689779076619941, 1740704666816075807, 
2.6876397726194035, 0.0, 0.7016731186349768, 1740704667027015929, 
2.6876397726194035, 0.0, 1.0749538324891972, 1740704667216037827, 
2.6876397726194035, 0.0, 0.6456072758909178, 1740704667267229399, 
2.6876397726194035, 0.0, 0.2584524656294383, 1740704667312201185, 
2.6876397726194035, 0.0, 0.29256556995571004, 1740704667376085345, 
2.6876397726194035, 0.0, 0.3085625389519691, 1740704667427009182, 
2.6876397726194035, 0.0, 0.2578445268881513, 1740704667472022505, 
2.6876397726194035, 0.0, 0.23917331331589953, 1740704667515999275, 
2.687639762110747, -6.872564149551832e-08, 0.25518035256580207, 1740704667566968396, 
2.687639762110747, -6.872564149551832e-08, 0.2689542077039734, 1740704667616070055, 
2.687639762110747, 0.0, 0.26919698991606766, 1740704667667129509, 
2.687639762110747, 0.0, 0.5671102146905944, 1740704667827076836, 
2.687639762110747, 0.0, 0.5506767166190817, 1740704667872021818, 
2.687639762110747, 0.0, 0.23902395217623348, 1740704667916011356, 
2.687639762110747, 0.0, 0.2551432651595555, 1740704667966953910, 
2.6876397726193972, 3.492499390957218e-08, 0.4064783129469938, 1740704668067251235, 
2.6876397726193972, 3.492499390957218e-08, 0.5619262750810686, 1740704668176031883, 
2.6876398041453533, 5.532846371609233e-08, 0.8028323001916207, 1740704668365963996, 
2.6876398041453533, 5.532846371609233e-08, 0.6451761862042965, 1740704668416084954, 
2.687639814654005, 1.6597723224188818e-08, 0.7019228444575458, 1740704668627131003, 
2.687639825162691, 2.053844489794565e-08, 2.9562504823938305, 1740704669516027910, 
2.687639825162691, 3.940721673756832e-09, 2.915105307252046, 1740704669711764920, 
2.687639825162691, 0.0, 0.6993688709103655, 1740704669776244649, 
2.68763981465401, -6.896706428032216e-08, 0.30980571506934707, 1740704669827035468, 
2.68763981465401, -6.896706428032216e-08, 0.2574945279862907, 1740704669872051582, 
2.68763981465401, 0.0, 0.7661066549031557, 1740704670112083580, 
2.687639804145357, -1.1482619789353814e-08, 1.4650101025828899, 1740704670417143263, 
2.687639804145357, -1.1482619789353814e-08, 0.954678363669801, 1740704670467294260, 
2.687639804145357, 0.0, 0.29215807612803285, 1740704670525847590, 
2.687639804145357, 0.0, 0.2924124397343767, 1740704670576093229, 
2.687639804145357, 0.0, 0.27203224985904917, 1740704670627063627, 
2.687639804145357, 0.0, 0.2582465658880444, 1740704670672179976, 
2.687639804145357, 0.0, 0.23914280065906082, 1740704670716042366, 
2.687639814654007, 7.013414902702986e-08, 0.25212174955685224, 1740704670765987840, 
2.687639814654007, 7.013414902702986e-08, 0.26931151516035945, 1740704670816246089, 
2.687639814654007, 0.0, 0.27210978664370605, 1740704670867232726, 
2.687639814654007, 0.0, 0.29503356966986777, 1740704670926020311, 
2.667464431073937, -0.008954221853940778, 2.171123300946024, 1740704671677076960, 
2.6472505402457416, -0.07635292167016795, 2.270076967218252, 1740704671777048675, 
2.621977314486103, -0.15514799626272321, 0.5184700877229907, 1740704671873054101, 
2.593804376293031, -0.18878815700378027, 0.4952390862527198, 1740704671965998334, 
2.5601737531969913, -0.20168834294373475, 0.5296019869942918, 1740704672077377026, 
2.5296754206716723, -0.2025999895528331, 0.5406598466500931, 1740704672177093164, 
2.4997471944660643, -0.20588216867603504, 0.4951022922456546, 1740704672273080039, 
