e, e_dot, e_int, stamp, 
0.7853988111210743, 9.826698602221367e-13, 0.07695209138657817, 1740697682567513567, 
0.7853988111212284, 1.89537572230527e-12, 0.07638032340828797, 1740697682618475933, 
0.7853988111213884, 2.3087456229412817e-12, 0.07222358763406207, 1740697682659471419, 
0.7853988111213641, 1.1390921470375596e-12, 0.07155651386623792, 1740697682709584441, 
0.7853988111215193, 8.284964097736082e-13, 0.08039359116713336, 1740697682761831634, 
0.785398811121855, 3.389809117392198e-12, 0.07765174271175593, 1740697682808453629, 
0.7853988111225156, 5.8767821574331245e-12, 0.08636077173211648, 1740697682871789493, 
0.7853988111228031, 6.7888674942138115e-12, 0.07246682878756865, 1740697682900721185, 
0.7854204026022208, 0.0001057188751773248, 0.07619222115536642, 1740697682968799473, 
0.7851962962449933, -0.0013993563431081715, 0.0924435829193256, 1740697683018432952, 
0.7712577571244099, -0.051397625217688335, 0.11143981023951148, 1740697683111556669, 
0.7600750930788222, -0.12604415077091993, 0.1097052977703028, 1740697683160505800, 
0.7043898675078184, -0.20966921900894567, 0.1400829695995198, 1740697683299526718, 
0.6322496025969668, -0.3340510154122078, 0.18097084739968597, 1740697683419440684, 
0.5765146674652359, -0.4042202260061158, 0.13463767590712492, 1740697683510650861, 
0.5453330130203152, -0.41673823130344756, 0.08185552564365366, 1740697683559436669, 
0.44730005821650326, -0.4452176047289864, 0.0991371441856159, 1740697683700187783, 
0.4129802305979221, -0.4596223611483188, 0.08951239185556159, 1740697683750482937, 
0.3421364902159483, -0.4441684103687171, 0.06383334003572308, 1740697683859450381, 
0.2736488988723875, -0.44501913106502483, 0.07165726806047228, 1740697683959443851, 
0.1826126159087097, -0.4180018326105752, 0.06918466814829578, 1740697684119413461, 
0.12884245953524942, -0.36712529208274836, 0.05090132971287339, 1740697684220429925, 
0.10648205244235398, -0.36819453001511615, 0.019516006055016872, 1740697684259501561, 
0.048834167731843126, -0.3829478373033455, 0.013171619783553882, 1740697684359489057, 
-0.03013093496253305, -0.37947572579949185, 0.010036761329524326, 1740697684500027306, 
-0.0698026211479017, -0.2977511086380903, -0.0044329724202735055, 1740697684619744956, 
-0.07930100101462656, -0.19005843898073058, -0.009528909936514346, 1740697684659520711, 
-0.10519487484286794, -0.13711606539880242, -0.016092152992983107, 1740697684809586656, 
-0.12438045052914792, -0.12732998358909162, -0.02488205900325369, 1740697684901190825, 
-0.13964873952629187, -0.11244338341465987, -0.02596754313018589, 1740697685020576775, 
-0.14288739044627552, -0.07043319699861837, -0.021460008263629534, 1740697685059405132, 
-0.1539908906538282, -0.06471143065773098, -0.020241532698503317, 1740697685159685227, 
-0.16612752111715, -0.07352199267091647, -0.03252966101633218, 1740697685270177832, 
-0.18001532594930214, -0.0676162112427767, -0.0433135423775394, 1740697685419496988, 
-0.17839997304167465, -0.01783713247599721, -0.033259193174649884, 1740697685460396010, 
-0.1706137418198792, 0.039359699809511754, -0.02468483908945408, 1740697685559478939, 
-0.1609105362484663, 0.04906738385464038, -0.040877150038022, 1740697685700885553, 
-0.1505614742294853, 0.05173069180464215, -0.041933137400093114, 1740697685820427145, 
-0.14480946314162046, 0.07680921757490294, -0.024262986983203377, 1740697685860411997, 
-0.13182682412028557, 0.07683357902156267, -0.02703026822747926, 1740697686010247439, 
-0.12409661920942261, 0.05724084438497536, -0.0321517627115926, 1740697686101109196, 
-0.10599777507594721, 0.07910114165680142, -0.025305005598752678, 1740697686220003079, 
-0.09335739072422677, 0.09763437601961966, -0.02250667127022947, 1740697686309857507, 
-0.0847838303422801, 0.10395547069337234, -0.013253806965257822, 1740697686359939594, 
-0.06719349493870519, 0.10988869226361571, -0.01317275567979427, 1740697686470936492, 
-0.052953974220503075, 0.08539341365199153, -0.017537873607285197, 1740697686616677442, 
-0.04697495376041205, 0.07508317269015695, -0.010730296323243944, 1740697686663555103, 
-0.03402657688093269, 0.08925483725441026, -0.006216491287420599, 1740697686755898849, 
-0.013799169256810906, 0.08899914771167554, -0.007959890522577694, 1740697686915448513, 
-0.0006896534470136606, 0.08583496059495554, -0.004201942627612421, 1740697687015730325, 
0.001628237318825998, 0.05941173416403531, -0.0006390460673101777, 1740697687064519348, 
0.0056945092631350835, 0.03088602454889854, 0.00030700423423595284, 1740697687154581489, 
0.014396385770099052, 0.033121765844823736, 0.0018140323079516975, 1740697687315086306, 
0.019510543639476685, 0.03424117792107758, 0.003510460039997649, 1740697687420515770, 
0.02210143715506263, 0.037702593630254806, 0.0027170820794112285, 1740697687460622531, 
0.026978756622879074, 0.03797862390424655, 0.0031772623335532524, 1740697687559481866, 
0.03197436430436107, 0.031596032719370705, 0.005640546358795711, 1740697687669391038, 
